# {"t_start": 1604712404.5037315, "env_id": "CartpoleSwingShort-v0"} 
r,l,t
22.069243,101,3203.452918
21.295335,100,3203.4978
20.155824,102,3203.540685
20.392043,95,3203.581576
19.271115,102,3203.624459
21.097921,110,3203.699259
19.591042,102,3203.751122
19.674019,108,3203.803979
22.247688,109,3203.860829
17.816599,102,3203.91269
17.526923,102,3203.993473
18.571333,104,3204.057304
21.091393,98,3204.109164
21.116814,106,3204.162022
18.988827,104,3204.210924
17.741867,108,3204.261777
19.293798,109,3204.310658
20.538169,107,3204.356535
20.838957,96,3204.397392
19.102347,98,3204.439282
20.478266,101,3204.482167
18.814145,108,3204.527076
20.690591,97,3204.566938
20.467378,107,3204.609824
20.035049,94,3204.647756
18.257989,101,3204.688647
23.155178,114,3204.733495
20.913782,98,3204.77239
19.786988,103,3204.814277
22.252115,105,3204.869162
19.857186,103,3204.913048
18.06391,102,3204.954935
19.462806,104,3204.99682
18.745583,104,3205.039675
20.901311,97,3205.082559
19.155919,98,3205.124448
20.521606,103,3205.170326
19.838125,98,3205.216202
21.32028,102,3205.263077
18.244857,102,3205.310983
20.060021,94,3205.353873
19.554948,100,3205.397716
20.793052,105,3205.445588
19.826177,101,3205.489472
19.127307,86,3205.526407
20.174176,104,3205.571292
19.493758,108,3205.615167
